company,created_at,favorite_count,retweet_count,reply_to,content,hashtags,retweet,quote
BLUMENBECKER,2015-11-10 08:00:58,1,0,,"Guten Morgen @induux_de. Schön, dass ihr immer wieder an uns denkt. #Onlinebewerbungen über https://t.co/L8uFy05ZCz https://t.co/xIWjCOkaNh",['onlinebewerbungen'],False,True
BLUMENBECKER,2015-11-09 13:18:57,0,0,,BIN PICKING Lösung von Blumenbecker. https://t.co/voHTYr8slf,,False,False
BLUMENBECKER,2015-11-05 10:57:37,0,0,,"Besuchen Sie uns auf dem #Pferdemarkt in #Soest. Unser Team freut sich auf Sie, es gibt auch etwas zu gewinnen. https://t.co/GMji5ittvH","['pferdemarkt', 'soest']",False,False
BLUMENBECKER,2015-10-27 12:35:46,1,1,,Olaf Lingnau im Gespräch mit @Onventis über das Thema #E-Procurement https://t.co/jXGVuYqHPj,['e'],False,False
BLUMENBECKER,2015-10-23 07:57:40,0,0,,Retrofit von Robotern: https://t.co/mUOUte9cXh über @YouTube,,False,False
BLUMENBECKER,2015-10-21 14:27:32,0,0,,Was macht eigentlich ein #Fachinformatiker für Systemintegration in seiner #Ausbildung? https://t.co/UfMYoqn8Vh,"['fachinformatiker', 'ausbildung']",False,False
BLUMENBECKER,2015-10-20 14:46:46,0,0,,Jetzt beim #Deutschen_Engagement_Preis für unsere Azubis abstimmen.  https://t.co/XYQuNAkdfV,['deutschen_engagement_preis'],False,False
BLUMENBECKER,2015-10-16 08:43:07,2,0,,#Ausbildung anstatt Studium. Warum Anna sich für eine #Ausbildung bei Blumenbecker entschieden hat. http://t.co/6uBOZhzFsc,"['ausbildung', 'ausbildung']",False,False
BLUMENBECKER,2015-10-01 09:34:24,1,0,,Unsere neue Robotik Webseite ist online! Anschauen lohnt sich! http://t.co/AxhGkQL7j4 #robotics #Robot http://t.co/sj9RbzLoHI,"['robotics', 'robot']",False,False
BLUMENBECKER,2015-09-28 07:12:08,0,0,,#Blumenbecker übernimmt Steinbach GmbH in Lüdenscheid. http://t.co/eej5WpRGhv http://t.co/WI9LnYrN3N,['blumenbecker'],False,False
BLUMENBECKER,2015-09-25 09:27:23,0,0,,Unser neues Robotikzentrum in Polen ist eröffnet worden! http://t.co/qOpdgoIEQI http://t.co/9U6Bi2cXak,,False,False
BLUMENBECKER,2015-09-15 14:56:58,0,0,,Unsere Azubis beim Teamtraining im Beverland. Das Video wurde von unserem Azubi Filmteam produziert. https://t.co/vgsttbST2r,,False,False
BLUMENBECKER,2015-09-14 14:55:32,0,0,,Morgen sind wir auf der #husumwind15. Wir freuen uns auf interessante Gespräche an unserem Stand 1E09 in der Messehalle 1. Bis Morgen!,['husumwind15'],False,False
BLUMENBECKER,2015-09-14 07:39:38,2,0,,Wir sind @KUKA_RoboticsDE Servicepartner in der Ukraine. http://t.co/SBaxBwBVBj http://t.co/RCXjVE6FM8,,False,False
BLUMENBECKER,2015-09-09 07:00:20,0,0,,Blumenbecker hilft Kindern in Rumänien. http://t.co/T1Q036msRz,,False,False
BLUMENBECKER,2015-08-31 12:04:52,0,0,induux_de,@induux_de Wir hätten da was. Wo sollen wir es hin schicken?,,False,False
